Page,Enrollment Number,Image,Predicted Answers,Correctness,Answer Key,Total Score
2,202439002,test_2_page_045.jpg,d,❌,c,34
2,202439002,test_2_page_045.jpg,d,❌,b,34
2,202439002,test_2_page_045.jpg,d,❌,c,34
2,202439002,test_2_page_045.jpg,D,✅,d,34
2,202439002,test_2_page_045.jpg,a,❌,b,34
2,202439002,test_2_page_045.jpg,b,❌,c,34
2,202439002,test_2_page_045.jpg,a,❌,b,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,e,❌,b,34
2,202439002,test_2_page_045.jpg,b,❌,c,34
2,202439002,test_2_page_045.jpg,d,❌,b,34
2,202439002,test_2_page_045.jpg,b,❌,a,34
2,202439002,test_2_page_045.jpg,c,❌,b,34
2,202439002,test_2_page_045.jpg,a,❌,b,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,a,❌,e,34
2,202439002,test_2_page_045.jpg,b,❌,a,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,c,❌,a,34
2,202439002,test_2_page_045.jpg,a,❌,b,34
2,202439002,test_2_page_045.jpg,b,❌,a,34
2,202439002,test_2_page_045.jpg,c,❌,d,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,c,❌,a,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,c,❌,e,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,e,❌,b,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,a,❌,d,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,c,❌,a,34
2,202439002,test_2_page_045.jpg,a,❌,b,34
2,202439002,test_2_page_045.jpg,e,❌,c,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,a,❌,d,34
2,202439002,test_2_page_045.jpg,A,✅,a,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,c,❌,b,34
2,202439002,test_2_page_045.jpg,e,❌,a,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,a,❌,e,34
2,202439002,test_2_page_045.jpg,c,❌,e,34
2,202439002,test_2_page_045.jpg,a,❌,e,34
3,202439003,test_2_page_042.jpg,d,❌,e,44
3,202439003,test_2_page_042.jpg,D,✅,d,44
3,202439003,test_2_page_042.jpg,e,❌,c,44
3,202439003,test_2_page_042.jpg,d,❌,c,44
3,202439003,test_2_page_042.jpg,d,❌,e,44
3,202439003,test_2_page_042.jpg,c,❌,e,44
3,202439003,test_2_page_042.jpg,D,✅,d,44
3,202439003,test_2_page_042.jpg,D,✅,d,44
3,202439003,test_2_page_042.jpg,D,✅,d,44
3,202439003,test_2_page_042.jpg,E,✅,e,44
3,202439003,test_2_page_042.jpg,E,✅,e,44
3,202439003,test_2_page_042.jpg,c,❌,e,44
3,202439003,test_2_page_042.jpg,D,✅,d,44
3,202439003,test_2_page_042.jpg,E,✅,e,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,c,❌,e,44
3,202439003,test_2_page_042.jpg,C,✅,c,44
3,202439003,test_2_page_042.jpg,e,❌,d,44
3,202439003,test_2_page_042.jpg,c,❌,e,44
3,202439003,test_2_page_042.jpg,d,❌,c,44
3,202439003,test_2_page_042.jpg,e,❌,c,44
3,202439003,test_2_page_042.jpg,e,❌,d,44
3,202439003,test_2_page_042.jpg,a,❌,e,44
3,202439003,test_2_page_042.jpg,e,❌,b,44
3,202439003,test_2_page_042.jpg,D,✅,d,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,b,❌,c,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,a,❌,d,44
3,202439003,test_2_page_042.jpg,c,❌,e,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,a,❌,d,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,b,❌,c,44
3,202439003,test_2_page_042.jpg,b,❌,e,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,d,❌,e,44
3,202439003,test_2_page_042.jpg,c,❌,b,44
3,202439003,test_2_page_042.jpg,b,❌,d,44
3,202439003,test_2_page_042.jpg,c,❌,e,44
3,202439003,test_2_page_042.jpg,B,✅,b,44
3,202439003,test_2_page_042.jpg,d,❌,b,44
3,202439003,test_2_page_042.jpg,b,❌,e,44
3,202439003,test_2_page_042.jpg,a,❌,b,44
3,202439003,test_2_page_042.jpg,b,❌,c,44
